question,context,answer
Who came up with the idea of the internet?,Tim Berners-Lee invented the World Wide Web in 1989.,Tim Berners-Lee
Who created the battery?,Alessandro Volta invented the battery in 1800.,Alessandro Volta
Who invented the printing press?,Johannes Gutenberg invented the printing press around 1440.,Johannes Gutenberg
Who created the vaccination?,Edward Jenner developed the smallpox vaccine in 1796.,Edward Jenner
Who came up with the idea of the microscope?,Anton van Leeuwenhoek improved the microscope in the 17th century.,Anton van Leeuwenhoek
Who developed the penicillin?,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming
Who is credited with inventing the refrigerator?,William Cullen demonstrated the first refrigeration process in 1748.,William Cullen
Who is credited with inventing the vaccination?,Edward Jenner developed the smallpox vaccine in 1796.,Edward Jenner
Who invented the battery?,Alessandro Volta invented the battery in 1800.,Alessandro Volta
Who developed the telescope?,Galileo Galilei improved the telescope in 1609.,Galileo Galilei
Who developed the vaccination?,Edward Jenner developed the smallpox vaccine in 1796.,Edward Jenner
Who created the airplane?,"The Wright brothers, Orville and Wilbur, invented the airplane in 1903.",Wright brothers
Who is credited with inventing the steam locomotive?,George Stephenson built the first steam locomotive in 1814.,George Stephenson
Who developed the refrigerator?,William Cullen demonstrated the first refrigeration process in 1748.,William Cullen
Who came up with the idea of the steam engine?,James Watt improved and invented the steam engine in the 18th century.,James Watt
Who created the television?,Philo Farnsworth invented the first fully electronic television.,Philo Farnsworth
Who is credited with inventing the radio?,Guglielmo Marconi is credited with inventing the radio.,Guglielmo Marconi
Who is credited with inventing the x-ray?,Wilhelm Röntgen discovered X-rays in 1895.,Wilhelm Röntgen
Who came up with the idea of the telescope?,Galileo Galilei improved the telescope in 1609.,Galileo Galilei
Who came up with the idea of the computer?,Charles Babbage is known as the father of the computer.,Charles Babbage
Who developed the steam engine?,James Watt improved and invented the steam engine in the 18th century.,James Watt
Who came up with the idea of the battery?,Alessandro Volta invented the battery in 1800.,Alessandro Volta
Who came up with the idea of the electric motor?,Michael Faraday invented the electric motor in 1821.,Michael Faraday
Who came up with the idea of the light bulb?,Thomas Edison is credited with inventing the light bulb.,Thomas Edison
Who came up with the idea of the microscope?,Anton van Leeuwenhoek improved the microscope in the 17th century.,Anton van Leeuwenhoek
Who invented the battery?,Alessandro Volta invented the battery in 1800.,Alessandro Volta
Who is credited with inventing the steam locomotive?,George Stephenson built the first steam locomotive in 1814.,George Stephenson
Who is credited with inventing the battery?,Alessandro Volta invented the battery in 1800.,Alessandro Volta
Who came up with the idea of the steam locomotive?,George Stephenson built the first steam locomotive in 1814.,George Stephenson
Who invented the radio?,Guglielmo Marconi is credited with inventing the radio.,Guglielmo Marconi
Who came up with the idea of the airplane?,"The Wright brothers, Orville and Wilbur, invented the airplane in 1903.",Wright brothers
Who came up with the idea of the dynamite?,Alfred Nobel invented dynamite in 1867.,Alfred Nobel
Who developed the telescope?,Galileo Galilei improved the telescope in 1609.,Galileo Galilei
Who is credited with inventing the x-ray?,Wilhelm Röntgen discovered X-rays in 1895.,Wilhelm Röntgen
Who came up with the idea of the steam locomotive?,George Stephenson built the first steam locomotive in 1814.,George Stephenson
Who invented the radio?,Guglielmo Marconi is credited with inventing the radio.,Guglielmo Marconi
Who created the electric motor?,Michael Faraday invented the electric motor in 1821.,Michael Faraday
Who created the electric motor?,Michael Faraday invented the electric motor in 1821.,Michael Faraday
Who created the radio?,Guglielmo Marconi is credited with inventing the radio.,Guglielmo Marconi
Who came up with the idea of the telescope?,Galileo Galilei improved the telescope in 1609.,Galileo Galilei
Who invented the internet?,Tim Berners-Lee invented the World Wide Web in 1989.,Tim Berners-Lee
Who came up with the idea of the polio vaccine?,Jonas Salk developed the polio vaccine in the 1950s.,Jonas Salk
Who invented the vaccination?,Edward Jenner developed the smallpox vaccine in 1796.,Edward Jenner
Who developed the steam locomotive?,George Stephenson built the first steam locomotive in 1814.,George Stephenson
Who is credited with inventing the polio vaccine?,Jonas Salk developed the polio vaccine in the 1950s.,Jonas Salk
Who invented the polio vaccine?,Jonas Salk developed the polio vaccine in the 1950s.,Jonas Salk
Who created the television?,Philo Farnsworth invented the first fully electronic television.,Philo Farnsworth
Who invented the steam locomotive?,George Stephenson built the first steam locomotive in 1814.,George Stephenson
Who developed the polio vaccine?,Jonas Salk developed the polio vaccine in the 1950s.,Jonas Salk
Who came up with the idea of the polio vaccine?,Jonas Salk developed the polio vaccine in the 1950s.,Jonas Salk
Who is credited with inventing the dynamite?,Alfred Nobel invented dynamite in 1867.,Alfred Nobel
Who invented the refrigerator?,William Cullen demonstrated the first refrigeration process in 1748.,William Cullen
Who is credited with inventing the radio?,Guglielmo Marconi is credited with inventing the radio.,Guglielmo Marconi
Who is credited with inventing the penicillin?,Alexander Fleming discovered penicillin in 1928.,Alexander Fleming
Who developed the microscope?,Anton van Leeuwenhoek improved the microscope in the 17th century.,Anton van Leeuwenhoek
Who invented the electric motor?,Michael Faraday invented the electric motor in 1821.,Michael Faraday
Who created the internet?,Tim Berners-Lee invented the World Wide Web in 1989.,Tim Berners-Lee
Who created the electric motor?,Michael Faraday invented the electric motor in 1821.,Michael Faraday
Who came up with the idea of the telescope?,Galileo Galilei improved the telescope in 1609.,Galileo Galilei
Who created the light bulb?,Thomas Edison is credited with inventing the light bulb.,Thomas Edison
Who developed the telephone?,The telephone was invented by Alexander Graham Bell in 1876.,Alexander Graham Bell
Who invented the electric motor?,Michael Faraday invented the electric motor in 1821.,Michael Faraday
Who invented the polio vaccine?,Jonas Salk developed the polio vaccine in the 1950s.,Jonas Salk
Who created the dynamite?,Alfred Nobel invented dynamite in 1867.,Alfred Nobel
Who created the steam locomotive?,George Stephenson built the first steam locomotive in 1814.,George Stephenson
Who created the x-ray?,Wilhelm Röntgen discovered X-rays in 1895.,Wilhelm Röntgen
Who is credited with inventing the steam engine?,James Watt improved and invented the steam engine in the 18th century.,James Watt
Who created the battery?,Alessandro Volta invented the battery in 1800.,Alessandro Volta
Who created the telescope?,Galileo Galilei improved the telescope in 1609.,Galileo Galilei
Who developed the television?,Philo Farnsworth invented the first fully electronic television.,Philo Farnsworth
Who is credited with inventing the battery?,Alessandro Volta invented the battery in 1800.,Alessandro Volta
Who created the airplane?,"The Wright brothers, Orville and Wilbur, invented the airplane in 1903.",Wright brothers
